index,ID,Name,FullName,Age,Nationality,Club,Image,Position,Overall,Potential,Value,Wage,URL
21,202126,H. Kane,Harry Kane,23,England,Tottenham Hotspur,https://cdn.sofifa.org/48/18/players/202126.png,ST,88,91,€76.5M,€210K,https://sofifa.com/player/202126
22,200389,J. Oblak,Jan Oblak,24,Slovenia,Atlético Madrid,https://cdn.sofifa.org/48/18/players/200389.png,GK,88,93,€57M,€82K,https://sofifa.com/player/200389
23,195864,P. Pogba,Paul Pogba,24,France,Manchester United,https://cdn.sofifa.org/48/18/players/195864.png,"CM, CDM",88,92,€76M,€250K,https://sofifa.com/player/195864
24,194765,A. Griezmann,Antoine Griezmann,26,France,Atlético Madrid,https://cdn.sofifa.org/48/18/players/194765.png,"ST, RW, LW",88,91,€75M,€150K,https://sofifa.com/player/194765
25,190460,C. Eriksen,Christian Eriksen,25,Denmark,Tottenham Hotspur,https://cdn.sofifa.org/48/18/players/190460.png,"CAM, RM, CM",88,91,€74.5M,€210K,https://sofifa.com/player/190460
26,189509,Thiago,Thiago Alcântara,26,Spain,FC Bayern Munich,https://cdn.sofifa.org/48/18/players/189509.png,"CM, CAM, CDM",88,90,€70.5M,€225K,https://sofifa.com/player/189509
27,184941,A. Sánchez,Alexis Sánchez,28,Chile,Arsenal,https://cdn.sofifa.org/48/18/players/184941.png,"LW, ST, LM",88,88,€60M,€285K,https://sofifa.com/player/184941
28,182493,D. Godín,Diego Godín,31,Uruguay,Atlético Madrid,https://cdn.sofifa.org/48/18/players/182493.png,CB,88,88,€40M,€125K,https://sofifa.com/player/182493
29,179813,E. Cavani,Edinson Cavani,30,Uruguay,Paris Saint-Germain,https://cdn.sofifa.org/48/18/players/179813.png,ST,88,88,€57M,€210K,https://sofifa.com/player/179813
30,173731,G. Bale,Gareth Bale,27,Wales,Real Madrid CF,https://cdn.sofifa.org/48/18/players/173731.png,RW,88,88,€62M,€370K,https://sofifa.com/player/173731
31,167948,H. Lloris,Hugo Lloris,30,France,Tottenham Hotspur,https://cdn.sofifa.org/48/18/players/167948.png,GK,88,88,€38M,€165K,https://sofifa.com/player/167948
32,162835,S. Handanovič,Samir Handanovič,32,Slovenia,Inter,https://cdn.sofifa.org/48/18/players/162835.png,GK,88,88,€34M,€120K,https://sofifa.com/player/162835
33,199556,M. Verratti,Marco Verratti,24,Italy,Paris Saint-Germain,https://cdn.sofifa.org/48/18/players/199556.png,"CM, CDM",87,90,€63M,€130K,https://sofifa.com/player/199556
34,198219,L. Insigne,Lorenzo Insigne,26,Italy,Napoli,https://cdn.sofifa.org/48/18/players/198219.png,LW,87,88,€59M,€135K,https://sofifa.com/player/198219
35,192448,M. ter Stegen,Marc-André ter Stegen,25,Germany,FC Barcelona,https://cdn.sofifa.org/48/18/players/192448.png,GK,87,90,€44.5M,€185K,https://sofifa.com/player/192448
36,189511,Sergio Busquets,Sergio Busquets Burgos,28,Spain,FC Barcelona,https://cdn.sofifa.org/48/18/players/189511.png,"CDM, CM",87,87,€41M,€250K,https://sofifa.com/player/189511
37,189332,Jordi Alba,Jordi Alba Ramos,28,Spain,FC Barcelona,https://cdn.sofifa.org/48/18/players/189332.png,LB,87,87,€40M,€250K,https://sofifa.com/player/189332
38,189242,Coutinho,Philippe Coutinho Correia,25,Brazil,FC Barcelona,https://cdn.sofifa.org/48/18/players/189242.png,"LW, CM",87,90,€63M,€275K,https://sofifa.com/player/189242
39,188567,P. Aubameyang,Pierre-Emerick Aubameyang,28,Gabon,Borussia Dortmund,https://cdn.sofifa.org/48/18/players/188567.png,ST,87,87,€52M,€125K,https://sofifa.com/player/188567
40,183907,J. Boateng,Jérôme Boateng,28,Germany,FC Bayern Munich,https://cdn.sofifa.org/48/18/players/183907.png,CB,87,87,€41M,€165K,https://sofifa.com/player/183907
41,176676,Marcelo,Marcelo Vieira da Silva,29,Brazil,Real Madrid CF,https://cdn.sofifa.org/48/18/players/176676.png,LB,87,87,€38M,€250K,https://sofifa.com/player/176676
42,176635,M. Özil,Mesut Özil,28,Germany,Arsenal,https://cdn.sofifa.org/48/18/players/176635.png,"CAM, RW",87,87,€51M,€205K,https://sofifa.com/player/176635
43,175943,D. Mertens,Dries Mertens,30,Belgium,Napoli,https://cdn.sofifa.org/48/18/players/175943.png,"CF, LW, ST",87,87,€48.5M,€135K,https://sofifa.com/player/175943
44,171877,M. Hamšík,Marek Hamšík,29,Slovakia,Napoli,https://cdn.sofifa.org/48/18/players/171877.png,CM,87,87,€48.5M,€130K,https://sofifa.com/player/171877
45,164240,Thiago Silva,Thiago Emiliano da Silva,32,Brazil,Paris Saint-Germain,https://cdn.sofifa.org/48/18/players/164240.png,CB,87,87,€29M,€135K,https://sofifa.com/player/164240
46,152729,Piqué,Gerard Piqué Bernabeu,30,Spain,FC Barcelona,https://cdn.sofifa.org/48/18/players/152729.png,CB,87,87,€37.5M,€240K,https://sofifa.com/player/152729
47,41236,Z. Ibrahimović,Zlatan Ibrahimović,35,Sweden,Manchester United,https://cdn.sofifa.org/48/18/players/41236.png,ST,87,87,€23M,€185K,https://sofifa.com/player/41236
48,9014,A. Robben,Arjen Robben,33,Netherlands,FC Bayern Munich,https://cdn.sofifa.org/48/18/players/9014.png,"RM, RW",87,87,€30.5M,€175K,https://sofifa.com/player/9014
49,41,Iniesta,Andrés Iniesta Luján,33,Spain,FC Barcelona,https://cdn.sofifa.org/48/18/players/41.png,"CM, LM",87,87,€29.5M,€260K,https://sofifa.com/player/41
50,201399,M. Icardi,Mauro Icardi,24,Argentina,Inter,https://cdn.sofifa.org/48/18/players/201399.png,ST,86,90,€59M,€120K,https://sofifa.com/player/201399
51,200145,Casemiro,Carlos Henrique Venancio Casimiro,25,Brazil,Real Madrid CF,https://cdn.sofifa.org/48/18/players/200145.png,CDM,86,89,€47M,€230K,https://sofifa.com/player/200145
52,198710,J. Rodríguez,James Rodríguez,25,Colombia,FC Bayern Munich,https://cdn.sofifa.org/48/18/players/198710.png,"CAM, CM, RM",86,89,€56M,€250K,https://sofifa.com/player/198710
53,197781,Isco,Francisco Román Alarcón Suárez,25,Spain,Real Madrid CF,https://cdn.sofifa.org/48/18/players/197781.png,"CM, CAM, RM",86,90,€56.5M,€250K,https://sofifa.com/player/197781
54,192505,R. Lukaku,Romelu Lukaku,24,Belgium,Manchester United,https://cdn.sofifa.org/48/18/players/192505.png,ST,86,90,€59M,€210K,https://sofifa.com/player/192505
55,191043,Alex Sandro,Alex Sandro Lobo Silva,26,Brazil,Juventus,https://cdn.sofifa.org/48/18/players/191043.png,"LB, LM",86,87,€42.5M,€175K,https://sofifa.com/player/191043
56,184432,Azpilicueta,César Azpilicueta Tanco,27,Spain,Chelsea,https://cdn.sofifa.org/48/18/players/184432.png,CB,86,88,€43.5M,€190K,https://sofifa.com/player/184432
57,184344,L. Bonucci,Leonardo Bonucci,30,Italy,Milan,https://cdn.sofifa.org/48/18/players/184344.png,CB,86,86,€33M,€165K,https://sofifa.com/player/184344
58,181872,A. Vidal,Arturo Vidal,30,Chile,FC Bayern Munich,https://cdn.sofifa.org/48/18/players/181872.png,"CDM, CM",86,86,€33M,€160K,https://sofifa.com/player/181872
59,181458,I. Perišić,Ivan Perišić,28,Croatia,Inter,https://cdn.sofifa.org/48/18/players/181458.png,"LM, CAM",86,86,€45M,€130K,https://sofifa.com/player/181458
60,180206,M. Pjanić,Miralem Pjanić,27,Bosnia Herzegovina,Juventus,https://cdn.sofifa.org/48/18/players/180206.png,"CM, CDM",86,87,€50M,€190K,https://sofifa.com/player/180206
61,178518,R. Nainggolan,Radja Nainggolan,29,Belgium,Roma,https://cdn.sofifa.org/48/18/players/178518.png,"CM, CAM",86,86,€42.5M,€130K,https://sofifa.com/player/178518
62,172879,Sokratis,Sokratis Papastathopoulos,29,Greece,Borussia Dortmund,https://cdn.sofifa.org/48/18/players/172879.png,CB,86,86,€34.5M,€110K,https://sofifa.com/player/172879
63,168651,I. Rakitić,Ivan Rakitić,29,Croatia,FC Barcelona,https://cdn.sofifa.org/48/18/players/168651.png,CM,86,86,€42.5M,€275K,https://sofifa.com/player/168651
64,164169,Filipe Luís,Filipe Luís Kasmirski,31,Brazil,Atlético Madrid,https://cdn.sofifa.org/48/18/players/164169.png,LB,86,86,€29M,€95K,https://sofifa.com/player/164169
65,48940,P. Čech,Petr Čech,35,Czech Republic,Arsenal,https://cdn.sofifa.org/48/18/players/48940.png,GK,86,86,€10.5M,€92K,https://sofifa.com/player/48940
66,209331,M. Salah,Mohamed Salah,25,Egypt,Liverpool,https://cdn.sofifa.org/48/18/players/209331.png,RW,85,88,€48.5M,€175K,https://sofifa.com/player/209331
67,208418,Y. Carrasco,Yannick Carrasco,23,Belgium,Atlético Madrid,https://cdn.sofifa.org/48/18/players/208418.png,"LM, RM",85,90,€51.5M,€77K,https://sofifa.com/player/208418
68,201535,R. Varane,Raphaël Varane,24,France,Real Madrid CF,https://cdn.sofifa.org/48/18/players/201535.png,CB,85,92,€46.5M,€175K,https://sofifa.com/player/201535
69,201153,Morata,Álvaro Borja Morata Martín,24,Spain,Chelsea,https://cdn.sofifa.org/48/18/players/201153.png,ST,85,89,€51M,€170K,https://sofifa.com/player/201153
70,197445,D. Alaba,David Alaba,25,Austria,FC Bayern Munich,https://cdn.sofifa.org/48/18/players/197445.png,"LB, CB, CM",85,87,€38.5M,€130K,https://sofifa.com/player/197445
71,193747,Koke,Jorge Resurrección,25,Spain,Atlético Madrid,https://cdn.sofifa.org/48/18/players/193747.png,"CM, RM, LM",85,88,€47.5M,€84K,https://sofifa.com/player/193747
72,193301,A. Lacazette,Alexandre Lacazette,26,France,Arsenal,https://cdn.sofifa.org/48/18/players/193301.png,ST,85,88,€48.5M,€180K,https://sofifa.com/player/193301
73,193041,K. Navas,Keylor Navas,30,Costa Rica,Real Madrid CF,https://cdn.sofifa.org/48/18/players/193041.png,GK,85,85,€24.5M,€165K,https://sofifa.com/player/193041
74,192563,B. Leno,Bernd Leno,25,Germany,Bayer 04 Leverkusen,https://cdn.sofifa.org/48/18/players/192563.png,GK,85,88,€34M,€61K,https://sofifa.com/player/192563
75,192387,C. Immobile,Ciro Immobile,27,Italy,Lazio,https://cdn.sofifa.org/48/18/players/192387.png,ST,85,86,€45M,€92K,https://sofifa.com/player/192387
76,192366,N. Otamendi,Nicolás Otamendi,29,Argentina,Manchester City,https://cdn.sofifa.org/48/18/players/192366.png,CB,85,85,€30M,€180K,https://sofifa.com/player/192366
77,190547,K. Glik,Kamil Glik,29,Poland,AS Monaco,https://cdn.sofifa.org/48/18/players/190547.png,CB,85,85,€30M,€60K,https://sofifa.com/player/190547
78,189596,T. Müller,Thomas Müller,27,Germany,FC Bayern Munich,https://cdn.sofifa.org/48/18/players/189596.png,"CF, RW, CAM, ST",85,85,€41M,€160K,https://sofifa.com/player/189596
79,188350,M. Reus,Marco Reus,28,Germany,Borussia Dortmund,https://cdn.sofifa.org/48/18/players/188350.png,"LM, ST, LW",85,85,€39M,€98K,https://sofifa.com/player/188350
80,186942,I. Gündoğan,İlkay Gündoğan,26,Germany,Manchester City,https://cdn.sofifa.org/48/18/players/186942.png,"CM, CDM",85,86,€44.5M,€190K,https://sofifa.com/player/186942
81,184087,T. Alderweireld,Toby Alderweireld,28,Belgium,Tottenham Hotspur,https://cdn.sofifa.org/48/18/players/184087.png,CB,85,87,€36.5M,€140K,https://sofifa.com/player/184087
82,179944,David Luiz,David Luiz Moreira Marinho,30,Brazil,Chelsea,https://cdn.sofifa.org/48/18/players/179944.png,CB,85,85,€28.5M,€160K,https://sofifa.com/player/179944
83,179844,Diego Costa,Diego da Silva Costa,28,Spain,Atlético Madrid,https://cdn.sofifa.org/48/18/players/179844.png,ST,85,85,€40M,€100K,https://sofifa.com/player/179844
84,177509,M. Benatia,Medhi Benatia,30,Morocco,Juventus,https://cdn.sofifa.org/48/18/players/177509.png,CB,85,85,€28.5M,€145K,https://sofifa.com/player/177509
85,172871,J. Vertonghen,Jan Vertonghen,30,Belgium,Tottenham Hotspur,https://cdn.sofifa.org/48/18/players/172871.png,CB,85,85,€28.5M,€130K,https://sofifa.com/player/172871
86,170890,B. Matuidi,Blaise Matuidi,30,France,Juventus,https://cdn.sofifa.org/48/18/players/170890.png,"CDM, CM",85,85,€28.5M,€145K,https://sofifa.com/player/170890
87,168609,Miranda,João Miranda de Souza Filho,32,Brazil,Inter,https://cdn.sofifa.org/48/18/players/168609.png,CB,85,85,€22M,€96K,https://sofifa.com/player/168609
88,165153,K. Benzema,Karim Benzema,29,France,Real Madrid CF,https://cdn.sofifa.org/48/18/players/165153.png,ST,85,85,€38.5M,€250K,https://sofifa.com/player/165153
89,162895,Cesc Fàbregas,Francesc Fàbregas i Soler,30,Spain,Chelsea,https://cdn.sofifa.org/48/18/players/162895.png,"CM, CDM",85,85,€35.5M,€175K,https://sofifa.com/player/162895
90,156616,F. Ribéry,Franck Ribéry,34,France,FC Bayern Munich,https://cdn.sofifa.org/48/18/players/156616.png,"LM, LW",85,85,€19.5M,€150K,https://sofifa.com/player/156616
91,139720,V. Kompany,Vincent Kompany,31,Belgium,Manchester City,https://cdn.sofifa.org/48/18/players/139720.png,CB,85,85,€26M,€170K,https://sofifa.com/player/139720
92,135507,Fernandinho,Fernando Luiz Rosa,32,Brazil,Manchester City,https://cdn.sofifa.org/48/18/players/135507.png,"CDM, CM",85,85,€22M,€170K,https://sofifa.com/player/135507
93,120533,Pepe,Képler Laveran Lima Ferreira,34,Portugal,Beşiktaş JK,https://cdn.sofifa.org/48/18/players/120533.png,CB,85,85,€11.5M,€80K,https://sofifa.com/player/120533
94,231747,K. Mbappé,Kylian Mbappé,18,France,Paris Saint-Germain,https://cdn.sofifa.org/48/18/players/231747.png,"ST, RW",84,95,€50M,€41K,https://sofifa.com/player/231747
95,225508,E. Bailly,Eric Bailly,23,Ivory Coast,Manchester United,https://cdn.sofifa.org/48/18/players/225508.png,CB,84,89,€35.5M,€150K,https://sofifa.com/player/225508
96,222492,L. Sané,Leroy Sané,21,Germany,Manchester City,https://cdn.sofifa.org/48/18/players/222492.png,"LW, RM",84,92,€46M,€165K,https://sofifa.com/player/222492
97,220834,Marco Asensio,Marco Asensio Willemsen,21,Spain,Real Madrid CF,https://cdn.sofifa.org/48/18/players/220834.png,"CAM, LW, RW",84,92,€46M,€175K,https://sofifa.com/player/220834
98,218667,Bernardo Silva,Bernardo Mota Carvalho e Silva,22,Portugal,Manchester City,https://cdn.sofifa.org/48/18/players/218667.png,RM,84,90,€42.5M,€165K,https://sofifa.com/player/218667
99,216594,N. Fekir,Nabil Fekir,23,France,Olympique Lyonnais,https://cdn.sofifa.org/48/18/players/216594.png,"CAM, ST",84,88,€40.5M,€92K,https://sofifa.com/player/216594
100,213565,T. Lemar,Thomas Lemar,21,France,AS Monaco,https://cdn.sofifa.org/48/18/players/213565.png,LM,84,90,€43M,€49K,https://sofifa.com/player/213565
101,212622,J. Kimmich,Joshua Kimmich,22,Germany,FC Bayern Munich,https://cdn.sofifa.org/48/18/players/212622.png,"RB, CM, CB, CDM",84,88,€33.5M,€115K,https://sofifa.com/player/212622
102,212190,N. Süle,Niklas Süle,21,Germany,FC Bayern Munich,https://cdn.sofifa.org/48/18/players/212190.png,CB,84,90,€36.5M,€105K,https://sofifa.com/player/212190
103,211117,D. Alli,Dele Alli,21,England,Tottenham Hotspur,https://cdn.sofifa.org/48/18/players/211117.png,"CAM, CF",84,90,€43M,€115K,https://sofifa.com/player/211117
104,210257,Ederson,Ederson Santana de Moraes,23,Brazil,Manchester City,https://cdn.sofifa.org/48/18/players/210257.png,GK,84,89,€30M,€115K,https://sofifa.com/player/210257
105,209499,Fabinho,Fábio Henrique Tavares,23,Brazil,AS Monaco,https://cdn.sofifa.org/48/18/players/209499.png,CDM,84,89,€35.5M,€49K,https://sofifa.com/player/209499
106,208722,S. Mané,Sadio Mané,25,Senegal,Liverpool,https://cdn.sofifa.org/48/18/players/208722.png,"LW, RW",84,87,€39M,€175K,https://sofifa.com/player/208722
107,207865,Marquinhos,Marcos Aoas Corrêa,23,Brazil,Paris Saint-Germain,https://cdn.sofifa.org/48/18/players/207865.png,CB,84,89,€35.5M,€98K,https://sofifa.com/player/207865
108,204963,Carvajal,Daniel Carvajal Ramos,25,Spain,Real Madrid CF,https://cdn.sofifa.org/48/18/players/204963.png,RB,84,87,€32M,€195K,https://sofifa.com/player/204963
109,204485,R. Mahrez,Riyad Mahrez,26,Algeria,Leicester City,https://cdn.sofifa.org/48/18/players/204485.png,RM,84,85,€36.5M,€120K,https://sofifa.com/player/204485
110,202652,R. Sterling,Raheem Sterling,22,England,Manchester City,https://cdn.sofifa.org/48/18/players/202652.png,"RW, LW, CF",84,88,€40.5M,€180K,https://sofifa.com/player/202652
111,202166,J. Draxler,Julian Draxler,23,Germany,Paris Saint-Germain,https://cdn.sofifa.org/48/18/players/202166.png,"LW, CAM, LM, CM",84,87,€39.5M,€120K,https://sofifa.com/player/202166
112,201942,Roberto Firmino,Roberto Firmino Barbosa de Oliveira,25,Brazil,Liverpool,https://cdn.sofifa.org/48/18/players/201942.png,"ST, LW",84,86,€38.5M,€175K,https://sofifa.com/player/201942
113,201024,K. Koulibaly,Kalidou Koulibaly,26,Senegal,Napoli,https://cdn.sofifa.org/48/18/players/201024.png,CB,84,87,€32.5M,€96K,https://sofifa.com/player/201024
114,200316,T. Horn,Timo Horn,24,Germany,1. FC Köln,https://cdn.sofifa.org/48/18/players/200316.png,GK,84,90,€31M,€39K,https://sofifa.com/player/200316
115,199482,A. Lopes,Anthony Lopes,26,Portugal,Olympique Lyonnais,https://cdn.sofifa.org/48/18/players/199482.png,GK,84,86,€26M,€78K,https://sofifa.com/player/199482
116,198176,S. de Vrij,Stefan de Vrij,25,Netherlands,Lazio,https://cdn.sofifa.org/48/18/players/198176.png,CB,84,89,€35M,€73K,https://sofifa.com/player/198176
117,198009,M. Perin,Mattia Perin,24,Italy,Genoa,https://cdn.sofifa.org/48/18/players/198009.png,GK,84,89,€30M,€36K,https://sofifa.com/player/198009
118,192883,H. Mkhitaryan,Henrikh Mkhitaryan,28,Armenia,Manchester United,https://cdn.sofifa.org/48/18/players/192883.png,"CAM, RW, RM, LM",84,84,€31.5M,€195K,https://sofifa.com/player/192883
119,192774,K. Manolas,Kostas Manolas,26,Greece,Roma,https://cdn.sofifa.org/48/18/players/192774.png,CB,84,86,€31.5M,€96K,https://sofifa.com/player/192774
120,192629,Iago Aspas,Iago Aspas Juncal,29,Spain,RC Celta de Vigo,https://cdn.sofifa.org/48/18/players/192629.png,"RW, ST",84,84,€30.5M,€51K,https://sofifa.com/player/192629
121,192593,D. Subašić,Danijel Subašić,32,Croatia,AS Monaco,https://cdn.sofifa.org/48/18/players/192593.png,GK,84,84,€18M,€46K,https://sofifa.com/player/192593
122,191202,N. Matić,Nemanja Matić,28,Serbia,Manchester United,https://cdn.sofifa.org/48/18/players/191202.png,"CDM, CM",84,84,€25M,€180K,https://sofifa.com/player/191202
123,189513,Parejo,Daniel Parejo Muñoz,28,Spain,Valencia CF,https://cdn.sofifa.org/48/18/players/189513.png,"CM, CAM, CDM",84,84,€31M,€59K,https://sofifa.com/player/189513
124,189505,Pedro,Pedro Rodríguez Ledesma,29,Spain,Chelsea,https://cdn.sofifa.org/48/18/players/189505.png,"RW, LW",84,84,€30.5M,€200K,https://sofifa.com/player/189505
125,188377,K. Walker,Kyle Walker,27,England,Manchester City,https://cdn.sofifa.org/48/18/players/188377.png,"RB, RWB",84,85,€29M,€170K,https://sofifa.com/player/188377
126,184267,Y. Brahimi,Yacine Brahimi,27,Algeria,FC Porto,https://cdn.sofifa.org/48/18/players/184267.png,LM,84,84,€32.5M,€27K,https://sofifa.com/player/184267
127,183898,A. Di María,Ángel Di María,29,Argentina,Paris Saint-Germain,https://cdn.sofifa.org/48/18/players/183898.png,"RW, LW",84,84,€30.5M,€145K,https://sofifa.com/player/183898
128,180930,E. Džeko,Edin Džeko,31,Bosnia Herzegovina,Roma,https://cdn.sofifa.org/48/18/players/180930.png,ST,84,84,€28M,€115K,https://sofifa.com/player/180930
129,179846,S. Khedira,Sami Khedira,30,Germany,Juventus,https://cdn.sofifa.org/48/18/players/179846.png,"CM, CDM",84,84,€29M,€160K,https://sofifa.com/player/179846
130,179783,R. Fährmann,Ralf Fährmann,28,Germany,FC Schalke 04,https://cdn.sofifa.org/48/18/players/179783.png,GK,84,85,€25M,€54K,https://sofifa.com/player/179783
131,178750,Sergio Asenjo,Sergio Asenjo Andrés,28,Spain,Villarreal CF,https://cdn.sofifa.org/48/18/players/178750.png,GK,84,85,€25M,€46K,https://sofifa.com/player/178750
132,177610,Javi Martínez,Javier Martínez Aginaga,28,Spain,FC Bayern Munich,https://cdn.sofifa.org/48/18/players/177610.png,"CDM, CB",84,84,€25M,€145K,https://sofifa.com/player/177610
133,176769,Jonas,Jonas Gonçalves Oliveira,33,Brazil,SL Benfica,https://cdn.sofifa.org/48/18/players/176769.png,"ST, CF",84,84,€19.5M,€27K,https://sofifa.com/player/176769
134,173210,C. Marchisio,Claudio Marchisio,31,Italy,Juventus,https://cdn.sofifa.org/48/18/players/173210.png,"CM, CDM",84,84,€26.5M,€160K,https://sofifa.com/player/173210
135,171919,Naldo,Ronaldo Aparecido Rodrigues,34,Brazil,FC Schalke 04,https://cdn.sofifa.org/48/18/players/171919.png,CB,84,84,€9.5M,€63K,https://sofifa.com/player/171919
136,167628,S. Ruffier,Stéphane Ruffier,30,France,AS Saint-Étienne,https://cdn.sofifa.org/48/18/players/167628.png,GK,84,84,€20M,€49K,https://sofifa.com/player/167628
137,167397,Falcao,Radamel Falcao García Zarate,31,Colombia,AS Monaco,https://cdn.sofifa.org/48/18/players/167397.png,ST,84,84,€28M,€68K,https://sofifa.com/player/167397
138,165229,L. Koscielny,Laurent Koscielny,31,France,Arsenal,https://cdn.sofifa.org/48/18/players/165229.png,CB,84,84,€21M,€150K,https://sofifa.com/player/165229
139,146530,Dani Alves,Daniel Alves da Silva,34,Brazil,Paris Saint-Germain,https://cdn.sofifa.org/48/18/players/146530.png,RB,84,84,€9M,€115K,https://sofifa.com/player/146530
140,143076,A. Gómez,Alejandro Gómez,29,Argentina,Atalanta,https://cdn.sofifa.org/48/18/players/143076.png,"CF, LW, ST",84,84,€31M,€60K,https://sofifa.com/player/143076
141,137186,A. Barzagli,Andrea Barzagli,36,Italy,Juventus,https://cdn.sofifa.org/48/18/players/137186.png,CB,84,84,€4.2M,€105K,https://sofifa.com/player/137186
142,106231,Aduriz,Aritz Aduriz Zubeldia,36,Spain,Athletic Club de Bilbao,https://cdn.sofifa.org/48/18/players/106231.png,ST,84,84,€11M,€38K,https://sofifa.com/player/106231
143,231443,O. Dembélé,Ousmane Dembélé,20,France,FC Barcelona,https://cdn.sofifa.org/48/18/players/231443.png,"RW, LW",83,92,€40M,€150K,https://sofifa.com/player/231443
144,230666,Gabriel Jesus,Gabriel Fernando de Jesus,20,Brazil,Manchester City,https://cdn.sofifa.org/48/18/players/230666.png,ST,83,92,€41M,€125K,https://sofifa.com/player/230666
145,223848,S. Milinković-Savić,Sergej Milinković-Savić,22,Serbia,Lazio,https://cdn.sofifa.org/48/18/players/223848.png,"CM, CAM",83,89,€35M,€56K,https://sofifa.com/player/223848
146,220971,N. Keïta,Naby Keïta,22,Guinea,RB Leipzig,https://cdn.sofifa.org/48/18/players/220971.png,"CM, CDM, CAM",83,88,€34M,€68K,https://sofifa.com/player/220971
147,216460,J. Giménez,José María Giménez,22,Uruguay,Atlético Madrid,https://cdn.sofifa.org/48/18/players/216460.png,CB,83,87,€28.5M,€53K,https://sofifa.com/player/216460
